l,r,b,omega_nmse
23,27,4,0.02420147818964906
23,27,2,0.1517257079713512
23,28,8,0.00014361758725717663
23,28,4,0.030492171160271392
23,28,2,0.19008291731518692
23,29,8,0.0001678705336060375
23,29,4,0.03791485563530587
23,29,2,0.2315089943193365
24,25,8,3.798881615512073e-05
24,25,4,0.006497265614243224
24,25,2,0.03749269374185242
24,26,8,6.438097106292844e-05
24,26,4,0.01274027678272687
24,26,2,0.0770724523613695
24,27,8,9.262603470124305e-05
24,27,4,0.01953239183924161
24,27,2,0.11147470773779787
24,28,8,0.00012446937267668545
24,28,4,0.02588358225678094
24,28,2,0.1500463100571651
24,29,8,0.00014910162161104381
24,29,4,0.03332509077382274
24,29,2,0.19096603485126978
24,30,8,0.00017343181879259646
24,30,4,0.039473183083860205
24,30,2,0.2247017319296021
25,26,8,2.4359127087518574e-05
25,26,4,0.006854408614197746
25,26,2,0.04041046694633551
25,27,8,5.392611185088754e-05
25,27,4,0.014061563632078469
25,27,2,0.07600260339067318
25,28,8,8.62194990273565e-05
25,28,4,0.020683117948425932
25,28,2,0.11436090373774059
25,29,8,0.00011155960173346103
25,29,4,0.027886088613560425
25,29,2,0.15513375240829774
25,30,8,0.0001361645177938044
25,30,4,0.03398671384644695
25,30,2,0.1885985799566377
25,31,8,0.00015545573700219393
25,31,4,0.038544690771447496
25,31,2,0.2157264404710848
26,27,8,2.9400075506418944e-05
26,27,4,0.007985189020493999
26,27,2,0.03940835612216033
26,28,8,6.285048588179051e-05
26,28,4,0.014761019140901045
26,28,2,0.07795764972404577
26,29,8,8.787995986640453e-05
26,29,4,0.02185239646290429
26,29,2,0.11867811445170082
26,30,8,0.00011280077509582043
26,30,4,0.027774384351586922
26,30,2,0.1513370034397114
26,31,8,0.00013136688303202391
26,31,4,0.0321981039178092
26,31,2,0.17787894577537663
26,32,8,0.0001626478011254221
26,32,4,0.03749031546362676
26,32,2,0.20756207653884776
27,28,8,3.514436730183661e-05
27,28,4,0.007735202292911708
27,28,2,0.04251499812589027
27,29,8,6.0368287982419136e-05
27,29,4,0.015079336577514186
27,29,2,0.08487829243936576
27,30,8,8.605877761729062e-05
27,30,4,0.021408761864481495
27,30,2,0.1186687952990178
27,31,8,0.00010515705915167928
27,31,4,0.025886573984427376
27,31,2,0.14576708827489054
27,32,8,0.00013669208316132426
27,32,4,0.031229224001569675
27,32,2,0.1772972903602291
28,29,8,2.3489891551434995e-05
28,29,4,0.008160429652873427
28,29,2,0.04773891798635013
28,30,8,4.836544902063906e-05
28,30,4,0.014713968633906916
28,30,2,0.08304456953112967
28,31,8,6.785637717694045e-05
28,31,4,0.0193246049745474
28,31,2,0.11115434455522336
28,32,8,9.880439378321171e-05
28,32,4,0.02491220098673366
28,32,2,0.144624065309437
29,30,8,2.5432338751852513e-05
29,30,4,0.007234894142253324
29,30,2,0.03902936993003823
29,31,8,4.414512598887086e-05
29,31,4,0.012210715004289522
29,31,2,0.06881962368455716
29,32,8,7.306614392437041e-05
29,32,4,0.017859415501961486
29,32,2,0.10220702150338329
30,31,8,1.873964127153158e-05
30,31,4,0.005382377899577841
30,31,2,0.03371087273084559
30,32,8,4.7278784727677706e-05
30,32,4,0.011188828594191
30,32,2,0.06790564858191647
31,32,8,2.6819334272295237e-05
31,32,4,0.006421377086499706
31,32,2,0.037267565902275965
