l,r,b,omega_nmse
25,27,2,0.044944387380965053
25,28,8,1.208401252515614e-05
25,28,4,0.003864330281643197
25,28,2,0.06656859828373417
25,29,8,1.597690018825233e-05
25,29,4,0.004832428839989007
25,29,2,0.08798154317764566
25,30,8,2.1686403919011355e-05
25,30,4,0.006045573616679758
25,30,2,0.1135068066152744
25,31,8,3.04306925740093e-05
25,31,4,0.00823744534412399
25,31,2,0.37436217944240197
26,27,8,5.30339814722538e-06
26,27,4,0.0012273856696672738
26,27,2,0.023691779402270914
26,28,8,8.91339248046279e-06
26,28,4,0.0024027441363781692
26,28,2,0.04597017059372738
26,29,8,1.27877626568079e-05
26,29,4,0.003383032836159691
26,29,2,0.06753739953516051
26,30,8,1.8527142843231557e-05
26,30,4,0.004624547296529636
26,30,2,0.0929735458788462
26,31,8,2.733111744746566e-05
26,31,4,0.006852492039138451
26,31,2,0.3498702688979916
26,32,8,3.3911129692569375e-05
26,32,4,0.008133389020711184
26,32,2,0.38672643962977454
27,28,8,3.5836264491081238e-06
27,28,4,0.0012271052923984826
27,28,2,0.02359444619314745
27,29,8,7.466512359678745e-06
27,29,4,0.0022199767203535887
27,29,2,0.04580055470699444
27,30,8,1.3185517070814967e-05
27,30,4,0.003480330947134644
27,30,2,0.07146878899177536
27,31,8,2.2060251096263528e-05
27,31,4,0.005727543107047677
27,31,2,0.3241586967743002
27,32,8,2.866163277067244e-05
27,32,4,0.0070085629154928025
27,32,2,0.36015868604956197
28,29,8,3.84213225916028e-06
28,29,4,0.001028444549581036
28,29,2,0.023547148725762964
28,30,8,9.460300160571932e-06
28,30,4,0.002305112955579534
28,30,2,0.04961895558517426
28,31,8,1.835480094887316e-05
28,31,4,0.004593830369692296
28,31,2,0.2939666932725348
28,32,8,2.5037401774898173e-05
28,32,4,0.005860170658491552
28,32,2,0.3289048848687671
29,30,8,5.669404566287995e-06
29,30,4,0.001306575140496716
29,30,2,0.027200143012963234
29,31,8,1.458308775909245e-05
29,31,4,0.003624540534475818
29,31,2,0.2637529793216847
29,32,8,2.1247926587238908e-05
29,32,4,0.004905618993379175
29,32,2,0.29806386252054945
30,31,8,8.90662744641304e-06
30,31,4,0.0024039494954515247
30,31,2,0.22844022034527733
30,32,8,1.5623911982402207e-05
30,32,4,0.003713778951857239
30,32,2,0.2612684817795642
31,32,8,6.561351846903563e-06
31,32,4,0.0013867771656252445
31,32,2,0.026069206367339937
