position,csinet_w8,csinet_w4,csinet_w2
1.030000000000000000e+02,7.038663898129016161e-05,1.226172666065394878e-03,3.351887222379446030e-03
1.040000000000000000e+02,8.992939547169953585e-05,1.685941009782254696e-03,5.142600275576114655e-03
1.050000000000000000e+02,1.337556604994460940e-04,2.246507210657000542e-03,7.960714399814605713e-03
1.060000000000000000e+02,1.750711962813511491e-04,2.822035690769553185e-03,1.128548569977283478e-02
1.070000000000000000e+02,2.091936621582135558e-04,3.426135750487446785e-03,1.481701619923114777e-02
1.080000000000000000e+02,2.412943722447380424e-04,4.306999500840902328e-03,1.737577468156814575e-02
1.090000000000000000e+02,2.856154751498252153e-04,4.878814797848463058e-03,2.061244659125804901e-02
1.100000000000000000e+02,2.990480861626565456e-04,5.022400524467229843e-03,2.114444598555564880e-02
1.110000000000000000e+02,2.998171548824757338e-04,4.810044541954994202e-03,2.095931395888328552e-02
1.120000000000000000e+02,2.642548060975968838e-04,4.155886825174093246e-03,1.768031343817710876e-02
1.130000000000000000e+02,2.111461217282339931e-04,3.267982043325901031e-03,1.365283317863941193e-02
1.140000000000000000e+02,1.642357965465635061e-04,2.605386078357696533e-03,1.047682110220193863e-02
1.150000000000000000e+02,1.239109406014904380e-04,2.139196731150150299e-03,8.646394126117229462e-03
1.160000000000000000e+02,1.020908239297568798e-04,1.654438092373311520e-03,6.481852382421493530e-03
1.170000000000000000e+02,8.625936607131734490e-05,1.423152978532016277e-03,4.934730473905801773e-03
1.180000000000000000e+02,7.045490201562643051e-05,1.193058327771723270e-03,4.382925573736429214e-03
1.190000000000000000e+02,6.172779831103980541e-05,1.077915891073644161e-03,3.627421800047159195e-03
1.200000000000000000e+02,5.883712219656445086e-05,9.477994753979146481e-04,3.078143345192074776e-03
1.210000000000000000e+02,5.231484465184621513e-05,8.627931238152086735e-04,2.762196119874715805e-03
1.220000000000000000e+02,4.923494634567759931e-05,8.589023491367697716e-04,2.792809624224901199e-03
1.230000000000000000e+02,4.750907464767806232e-05,8.306488743983209133e-04,2.879796782508492470e-03
